Ticker,Date,Generated_At,Close,RSI,VolRel10,N_Entry,Entry_Flags,N_Exit,Exit_Flags
TTD,2026-08-18,2026-08-19T03:34:54.113979,13.42,32.1,0.44,4,"BUY_ZONE,ADX_Strong,Williams_Oversold,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
ULTA,2026-08-18,2026-08-19T03:34:54.737525,516.74,52.6,1.34,2,"ADX_Strong,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
WDAY,2026-08-18,2026-08-19T03:34:55.447052,190.635,64.7,0.7,3,"ADX_Strong,ROC_Momentum_Up,ATR_Pct_High",3,"EXIT_VSA_NoDemand,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
WIX,2026-08-18,2026-08-19T03:34:56.116132,77.16,68.6,1.58,5,"Breakout_Vol,ADX_Strong,Williams_Overbought,ROC_Momentum_Up,ATR_Pct_High",1,EXIT_Livermore_Pivot
WMT,2026-08-18,2026-08-19T03:34:56.771511,115.2,55.9,1.08,2,"ADX_Weak,Williams_Overbought",1,EXIT_Oneil_PivotBreak
XP,2026-08-18,2026-08-19T03:34:57.465030,15.84,41.9,1.77,4,"Breakout_Vol,ADX_Weak,OBV_Div_Down,ROC_Momentum_Up",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
ABBV,2026-08-18,2026-08-19T03:34:58.167504,258.92,61.8,1.1,4,"ADX_Weak,OBV_Div_Down,Williams_Overbought,ROC_Momentum_Up",2,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak"
ABEV,2026-08-18,2026-08-19T03:34:58.844121,2.78,25.7,0.43,5,"Vol_Dryup,ADX_Strong,Williams_Oversold,MFI_Oversold,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
AMT,2026-08-18,2026-08-19T03:34:59.521016,172.33,51.5,0.82,2,"REB,ADX_Weak",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
BA,2026-08-18,2026-08-19T03:35:00.183510,223.06,47.5,1.11,2,"ADX_Strong,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
BABA,2026-08-18,2026-08-19T03:35:00.833919,128.15,60.5,1.47,1,ADX_Strong,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
BAX,2026-08-18,2026-08-19T03:35:01.469957,25.94,55.2,0.94,4,"ADX_Strong,Williams_Oversold,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
BHP,2026-08-18,2026-08-19T03:35:02.124505,89.09,57.4,1.26,1,BB_Squeeze,1,EXIT_Oneil_PivotBreak
BMY,2026-08-18,2026-08-19T03:35:02.758921,66.05,64.9,1.02,2,"ADX_Strong,ROC_Momentum_Up",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
BN,2026-08-18,2026-08-19T03:35:03.397189,42.13,40.2,0.88,3,"ADX_Strong,Williams_Oversold,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
BSX,2026-08-18,2026-08-19T03:35:04.023944,50.47,61.9,0.71,1,ADX_Strong,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
CAT,2026-08-18,2026-08-19T03:35:04.655842,840.87,42.9,1.07,1,ATR_Pct_High,4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
CLF,2026-08-18,2026-08-19T03:35:05.249969,11.88,53.5,1.02,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
CMG,2026-08-18,2026-08-19T03:35:05.893434,33.36,48.9,0.77,4,"ADX_Weak,OBV_Div_Down,ROC_Momentum_Up,ATR_Pct_High",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
CNC,2026-08-18,2026-08-19T03:35:06.543119,65.22,50.4,0.89,3,"BB_Squeeze,ADX_Strong,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
CRCL,2026-08-18,2026-08-19T03:35:07.215307,71.73,54.0,0.79,3,"BB_Squeeze,OBV_Div_Up,ATR_Pct_High",4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
CRM,2026-08-18,2026-08-19T03:35:07.876802,196.14,60.1,1.18,1,ADX_Strong,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
CVS,2026-08-18,2026-08-19T03:35:08.503128,94.91,37.9,0.72,2,"ADX_Strong,Williams_Oversold",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
CVX,2026-08-18,2026-08-19T03:35:09.181725,205.74,69.6,0.97,5,"Stoch_Extreme,BB_Breakout,ADX_Strong,Williams_Overbought,ROC_Momentum_Up",0,
DAVA,2026-08-18,2026-08-19T03:35:09.884623,3.0,52.1,0.91,3,"REB,ADX_Strong,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
DE,2026-08-18,2026-08-19T03:35:10.537510,588.72,42.5,1.37,4,"BB_Squeeze,OBV_Div_Down,Williams_Oversold,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
DECK,2026-08-18,2026-08-19T03:35:11.241395,89.51,33.2,1.02,3,"ADX_Strong,Williams_Oversold,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
DG,2026-08-18,2026-08-19T03:35:11.919048,120.84,48.0,1.21,2,"ADX_Weak,OBV_Div_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
DIS,2026-08-18,2026-08-19T03:35:12.603230,103.95,57.7,0.63,1,ADX_Strong,1,EXIT_Oneil_PivotBreak
DUK,2026-08-18,2026-08-19T03:35:13.262921,123.99,46.7,1.0,1,ADX_Weak,5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
DVA,2026-08-18,2026-08-19T03:35:13.947901,177.91,26.5,0.4,6,"BUY_ZONE,Vol_Dryup,ADX_Strong,Williams_Oversold,MFI_Oversold,ATR_Pct_High",4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
EC,2026-08-18,2026-08-19T03:35:14.612315,17.68,64.5,0.6,4,"ADX_Strong,OBV_Div_Down,Williams_Overbought,ROC_Momentum_Up",0,
EPAM,2026-08-18,2026-08-19T03:35:15.208022,100.25,54.5,0.79,2,"ADX_Strong,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
ETSY,2026-08-18,2026-08-19T03:35:15.873042,79.96,48.7,0.63,3,"BB_Squeeze,OBV_Div_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
GE,2026-08-18,2026-08-19T03:35:16.559737,375.09,59.7,1.5,2,"BB_Squeeze,OBV_Div_Up",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
GLOB,2026-08-18,2026-08-19T03:35:17.210643,37.31,54.5,0.95,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
GPN,2026-08-18,2026-08-19T03:35:17.862572,90.37,61.6,0.44,2,"ADX_Strong,ROC_Momentum_Up",3,"EXIT_VSA_NoDemand,EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
GPRK,2026-08-18,2026-08-19T03:35:18.511219,9.37,45.4,0.85,1,ADX_Weak,4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
GS,2026-08-18,2026-08-19T03:35:19.180856,1040.47,48.2,1.15,2,"BB_Squeeze,ADX_Weak",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
HIMS,2026-08-18,2026-08-19T03:35:19.826100,27.39,40.1,0.65,3,"BB_Squeeze,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
HRL,2026-08-18,2026-08-19T03:35:20.488148,24.34,44.1,1.29,1,BB_Squeeze,3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
HSY,2026-08-18,2026-08-19T03:35:21.055282,183.45,55.7,0.83,1,ADX_Strong,1,EXIT_Oneil_PivotBreak
INFY,2026-08-18,2026-08-19T03:35:21.716427,11.83,48.7,1.09,3,"ADX_Strong,OBV_Div_Down,ROC_Momentum_Down",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
JNJ,2026-08-18,2026-08-19T03:35:22.415685,271.11,66.6,1.25,5,"Stoch_Extreme,BB_Breakout,ADX_Weak,Williams_Overbought,ROC_Momentum_Up",1,EXIT_Oneil_PivotBreak
JOBY,2026-08-18,2026-08-19T03:35:23.124074,7.65,44.7,0.58,2,"ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
KO,2026-08-18,2026-08-19T03:35:23.759110,88.82,65.0,0.99,4,"Stoch_Extreme,ADX_Strong,Williams_Overbought,ROC_Momentum_Up",1,EXIT_Oneil_PivotBreak
LLY,2026-08-18,2026-08-19T03:35:24.409684,1225.73,57.9,0.88,2,"ADX_Weak,Williams_Overbought",1,EXIT_Oneil_PivotBreak
LW,2026-08-18,2026-08-19T03:35:25.101398,51.98,56.3,0.71,0,,3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
MA,2026-08-18,2026-08-19T03:35:25.781430,574.31,62.9,1.39,2,"ADX_Strong,ROC_Momentum_Up",1,EXIT_Oneil_PivotBreak
MMM,2026-08-18,2026-08-19T03:35:26.481999,180.94,61.9,0.86,1,ADX_Strong,1,EXIT_Oneil_PivotBreak
MNSO,2026-08-18,2026-08-19T03:35:27.162029,10.68,27.9,1.16,4,"ADX_Strong,OBV_Div_Down,Williams_Oversold,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
MP,2026-08-18,2026-08-19T03:35:27.808559,56.67,61.7,0.6,4,"ADX_Strong,Williams_Overbought,ROC_Momentum_Up,ATR_Pct_High",1,EXIT_Livermore_Pivot
MRK,2026-08-18,2026-08-19T03:35:28.509865,135.17,65.6,1.25,2,"ADX_Strong,ROC_Momentum_Up",0,
NEE,2026-08-18,2026-08-19T03:35:29.158304,86.22,45.4,1.09,1,OBV_Div_Down,5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
NKE,2026-08-18,2026-08-19T03:35:29.814127,40.06,41.5,1.38,2,"BB_Squeeze,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
